instrumento,aplicacao,serie,disciplina,inep,escola,turmas,alunos,media,acertos,esperado,percentual
Simula+,4,2ª Série,Matemática,22083022,CETI SEVERO MARIA EULÁLIO,2,65,1.9,325,1755,19.0
Simula+,4,2ª Série,Matemática,22136886,CETI FRANCIVAL RODRIGUES DO NASCIMENTO,1,18,7.7,372,486,77.0
Simula+,4,2ª Série,Matemática,22088024,CETI DOUTOR JOSÉ DE MOURA FÉ,2,44,2.1,252,1188,21.0
Simula+,4,2ª Série,Matemática,22223606,CETI WILSON NUNES MARTINS FILHO,1,28,5.6,423,756,56.0
Simula+,4,2ª Série,Matemática,22080481,CETI ORLANDO CARVALHO,2,39,3.2,340,1053,32.0
Simula+,4,2ª Série,Matemática,22080449,CETI FARMACÊUTICO JOÃO CARVALHO,3,75,3.1,622,2025,31.0
Simula+,4,2ª Série,Matemática,22080392,CETI ARMANDO BURLAMAQUI,3,55,2.9,425,1485,29.0
Simula+,4,2ª Série,Matemática,22083480,CETI DOM EDILBERTO DINKELBORG,2,50,2.1,288,1350,21.0
Simula+,4,2ª Série,Matemática,22099476,CETI JOÃO DE SOUSA MOURA,2,37,4.2,419,999,42.0
Simula+,4,2ª Série,Matemática,22134050,CETI SÃO JOÃO BATISTA,2,46,2.1,267,1242,21.0
Simula+,4,2ª Série,Matemática,22061258,CETI MIGUEL MARINHO,1,24,2.9,190,648,29.0
Simula+,4,2ª Série,Matemática,22083065,CETI CLEMENTINO MARTINS,2,54,2.6,378,1458,26.0
Simula+,4,2ª Série,Língua Portuguesa,22080333,CETI DESEMBARGADOR PEDRO SÁ,5,121,5.1,1615,3146,51.0
Simula+,4,2ª Série,Língua Portuguesa,22133968,CETI ROCHA NETO,3,93,5.3,1288,2418,53.0
Simula+,4,2ª Série,Língua Portuguesa,22078096,CETI DOUTOR JOSÉ GUSMÃO,2,66,5.2,888,1716,52.0
Simula+,4,2ª Série,Língua Portuguesa,22083510,CETI SÃO SEBASTIÃO,2,31,5.4,437,806,54.0
Simula+,4,2ª Série,Língua Portuguesa,22083022,CETI SEVERO MARIA EULÁLIO,2,65,4.1,692,1690,41.0
Simula+,4,2ª Série,Língua Portuguesa,22136886,CETI FRANCIVAL RODRIGUES DO NASCIMENTO,1,18,8.1,381,468,81.0
Simula+,4,2ª Série,Língua Portuguesa,22088024,CETI DOUTOR JOSÉ DE MOURA FÉ,2,44,4.4,504,1144,44.0
Simula+,4,2ª Série,Língua Portuguesa,22223606,CETI WILSON NUNES MARTINS FILHO,1,28,6.9,500,728,69.0
Simula+,4,2ª Série,Língua Portuguesa,22080481,CETI ORLANDO CARVALHO,2,39,4.8,491,1014,48.0
Simula+,4,2ª Série,Língua Portuguesa,22080449,CETI FARMACÊUTICO JOÃO CARVALHO,3,75,5.6,1101,1950,56.0
Simula+,4,2ª Série,Língua Portuguesa,22080392,CETI ARMANDO BURLAMAQUI,3,55,3.6,518,1430,36.0
Simula+,4,2ª Série,Língua Portuguesa,22083480,CETI DOM EDILBERTO DINKELBORG,2,50,4.7,610,1300,47.0
Simula+,4,2ª Série,Língua Portuguesa,22099476,CETI JOÃO DE SOUSA MOURA,2,37,6.3,606,962,63.0
Simula+,4,2ª Série,Língua Portuguesa,22134050,CETI SÃO JOÃO BATISTA,2,46,4.6,556,1196,46.0
Simula+,4,2ª Série,Língua Portuguesa,22061258,CETI MIGUEL MARINHO,1,24,6.6,409,624,66.0
Simula+,4,2ª Série,Língua Portuguesa,22083065,CETI CLEMENTINO MARTINS,2,54,4.6,645,1404,46.0
